Edition *,1990-91,,,1991-92,,,1992-93,,,1993-94,,,1994-95,,,1995-96,,,1996-97,,,1997-98,,,1998-99,,,1999-2000,,,2000-01,,,2001-02,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,
Year(s) covered,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,
,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL ,Status,PR,CL,Status,PR,CL,Status,PR,CL,Status,PR,CL,Status,PR,CL,Status,PR,CL,Status
Equatorial Guinea,7,7,NF,7,7,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,6,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF
Eritrea,..,..,..,..,..,..,..,..,..,6,5,NF,6,5,NF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,7,5,NF,7,5,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF
Estonia,..,..,..,2,3,F,3,3,PF,3,2,F,3,2,F,2,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
Ethiopia,7,7,NF,6,5,PF,6,4,PF,6,5,NF,6,5,NF,4,5,PF,4,5,PF,4,5,PF,4,4,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF
Fiji,6,4,PF,6,4,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,2,3,F,6,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,3,4,PF
Finland,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
France,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
Gabon,4,4,PF,4,3,PF,4,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,6,4,PF,6,4,PF,6,4,PF,6,4,PF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF
"Gambia, The",2,2,F,2,2,F,1,2,F,2,2,F,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,5,NF,7,5,NF,7,5,NF,5,5,PF,4,4,PF,4,4,PF,4,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,5,PF,5,5,PF,6,5,NF,6,6,NF,6,6,NF,6,6,NF
Georgia,..,..,..,6,5,NF,4,5,PF,5,5,PF,5,5,PF,4,5,PF,4,4,PF,3,4,PF,3,4,PF,3,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,3,4,PF,3,3,PF,3,3,PF,4,4,PF,4,4,PF,4,4,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF
